Wall time,Step,Value,Smoothed_Value
1733466510.221628,595,0.1500000059604644,0.0251851856432579
1733466529.5511804,596,0.1500000059604644,0.02610294167500207
1733466735.5616772,597,0.1500000059604644,0.027007299808472596
1733466988.913326,602,0.2000000029802322,0.028260870121311434
1733468125.5739062,610,0.1500000059604644,0.029136691242456415
1733468212.4057834,612,0.1000000014901161,0.029642857744225416
1733468461.5584767,615,0.1000000014901161,0.030141844579302655
1733469312.2972398,625,0.050000000745058,0.03028169074948403
1733469486.4558792,626,0.050000000745058,0.03041958102917336
1733469526.13006,628,0.050000000745058,0.030555556166089223
1733470838.5919728,639,0.1000000014901161,0.031034483375220443
1733471118.1958776,641,0.1000000014901161,0.03150684993765124
1733471528.130219,645,0.050000000745058,0.0316326536846404
1733472809.6449304,650,0.1000000014901161,0.03209459522386659
1733473115.6857865,654,0.050000000745058,0.03221476573072022
1733473433.4157023,658,0.050000000745058,0.03233333396414914
1733473618.6704674,660,0.050000000745058,0.03245033175740019
1733473737.1276634,662,0.050000000745058,0.0325657901060032
1733474031.815267,665,0.050000000745058,0.032679739195147356
1733474358.3752134,673,0.0,0.03246753309647757
1733474833.7080417,677,0.0,0.03225806514101642
1733474991.258903,679,0.0,0.03205128267216375
1733475232.6468017,682,0.0,0.03184713437488882
1733475401.5080042,685,0.050000000745058,0.03196202593419369
1733475716.813089,689,0.1000000014901161,0.03238993773014289
1733475735.963673,690,0.1000000014901161,0.03281250062864272
1733475748.39767,691,0.1000000014901161,0.03322981429858976
1733475855.361924,693,0.1000000014901161,0.03364197594792017
1733476327.7351437,703,0.3000000119209289,0.03527607432812267
1733476480.054019,706,0.25,0.03658536655782924
1733476851.881091,709,0.2000000029802322,0.037575758293722596
1733476921.036157,711,0.2000000029802322,0.038554217599063016
1733477481.6590323,713,0.25,0.03982036000864946
1733477665.3844016,714,0.25,0.04107142929431226
1733478181.5387504,718,0.2000000029802322,0.04201183505576741
1733478367.837396,721,0.2000000029802322,0.04294117722002897
1733478684.5051746,724,0.2000000029802322,0.04385964988529332
1733478863.3822024,727,0.25,0.045058140292936956
1733478868.573046,728,0.25,0.04624277532014542
1733478906.872228,729,0.3000000119209289,0.047701150243138424
1733479891.993275,739,0.3000000119209289,0.04914285802415437
1733480709.0527189,748,0.2000000029802322,0.05000000089322299
1733480806.415843,749,0.1500000059604644,0.05056497267326391
1733481247.0086925,752,0.1500000059604644,0.05112359645577627
1733481443.8477228,754,0.1500000059604644,0.05167597863178011
1733481722.0232458,757,0.1500000059604644,0.052222223228050584
1733481820.3011255,759,0.1500000059604644,0.05276243197242856
1733482072.2459517,763,0.1500000059604644,0.05329670435697821
1733482268.7276964,765,0.1500000059604644,0.05382513769907376
1733482276.6278417,766,0.2000000029802322,0.054619566314732235
1733482926.34508,776,0.2000000029802322,0.055405406512924124
1733483448.8449426,780,0.2000000029802322,0.0561827968165118
1733483525.6016386,782,0.25,0.05721925244850906
1733483953.8207643,785,0.2000000029802322,0.057978724525805464
1733484243.4143994,787,0.2000000029802322,0.058730159861543174
1733484288.4783626,788,0.25,0.05973684323069294
1733484349.749515,789,0.25,0.0607329854127312
1733484373.859459,790,0.25,0.06171875111370656
1733484681.880689,793,0.25,0.06269430162607077
1733484884.2203498,796,0.25,0.06365979491665803
1733485602.6440966,809,0.1000000014901161,0.06384615495036808
1733485942.0862172,814,0.050000000745058,0.06377551130646343
1733485971.3640423,815,0.1000000014901161,0.06395939196729417
1733486590.8881917,823,0.050000000745058,0.06388888999142428
1733487139.4271529,827,0.1500000059604644,0.0643216091671481
1733487146.1272078,828,0.1500000059604644,0.06475000115111468
1733487522.4303553,834,0.1500000059604644,0.06550000118091699
1733487630.4680274,836,0.1500000059604644,0.06625000121071932
1733488173.613883,841,0.25,0.06750000121071932
1733488477.1145997,846,0.25,0.06875000121071932
1733489295.614474,856,0.25,0.07000000121071932
1733489320.36738,857,0.25,0.07125000121071932
1733489450.025499,859,0.2000000029802322,0.07225000122562047
1733490477.4915586,870,0.1000000014901161,0.07275000123307106
1733491097.6367044,880,0.050000000745058,0.07300000123679636
1733491166.1152322,882,0.050000000745058,0.07325000124052164
1733491522.2488956,884,0.050000000745058,0.07350000124424694
1733491851.529739,889,0.1000000014901161,0.07400000125169752
1733491858.5682116,890,0.1000000014901161,0.07450000125914809
1733492085.242965,892,0.1000000014901161,0.07500000126659867
1733492436.0931194,895,0.1500000059604644,0.075750001296401
